Time (CET/CEST),Day-ahead Total Load Forecast [MW] - Ireland (IE),Actual Total Load [MW] - Ireland (IE)
11.03.2021 19:00 - 11.03.2021 19:30,4432,4495
11.03.2021 19:30 - 11.03.2021 20:00,4515,4612
11.03.2021 20:00 - 11.03.2021 20:30,4664,4683
11.03.2021 20:30 - 11.03.2021 21:00,4654,4561
11.03.2021 21:00 - 11.03.2021 21:30,4582,4460
11.03.2021 21:30 - 11.03.2021 22:00,4461,4270
11.03.2021 22:00 - 11.03.2021 22:30,4338,4192
11.03.2021 22:30 - 11.03.2021 23:00,4149,3975
11.03.2021 23:00 - 11.03.2021 23:30,3960,3795
11.03.2021 23:30 - 12.03.2021 00:00,3790,3639
12.03.2021 00:00 - 12.03.2021 00:30,3715,3531
12.03.2021 00:30 - 12.03.2021 01:00,3668,3498
12.03.2021 01:00 - 12.03.2021 01:30,3461,3395
12.03.2021 01:30 - 12.03.2021 02:00,3359,3292
12.03.2021 02:00 - 12.03.2021 02:30,3218,3206
12.03.2021 02:30 - 12.03.2021 03:00,3023,3095
12.03.2021 03:00 - 12.03.2021 03:30,2946,3061
12.03.2021 03:30 - 12.03.2021 04:00,2901,3034
12.03.2021 04:00 - 12.03.2021 04:30,2858,2959
12.03.2021 04:30 - 12.03.2021 05:00,2840,2934
12.03.2021 05:00 - 12.03.2021 05:30,2812,2982
12.03.2021 05:30 - 12.03.2021 06:00,2786,2979
12.03.2021 06:00 - 12.03.2021 06:30,2796,2988
12.03.2021 06:30 - 12.03.2021 07:00,2816,3027
12.03.2021 07:00 - 12.03.2021 07:30,2903,3133
12.03.2021 07:30 - 12.03.2021 08:00,3034,3284
12.03.2021 08:00 - 12.03.2021 08:30,3310,3475
12.03.2021 08:30 - 12.03.2021 09:00,3515,3695
12.03.2021 09:00 - 12.03.2021 09:30,3641,3883
12.03.2021 09:30 - 12.03.2021 10:00,3765,4043
12.03.2021 10:00 - 12.03.2021 10:30,3920,4114
12.03.2021 10:30 - 12.03.2021 11:00,4042,4158
12.03.2021 11:00 - 12.03.2021 11:30,4083,4182
12.03.2021 11:30 - 12.03.2021 12:00,4109,4199
12.03.2021 12:00 - 12.03.2021 12:30,4118,4217
12.03.2021 12:30 - 12.03.2021 13:00,4102,4195
12.03.2021 13:00 - 12.03.2021 13:30,4080,4212
12.03.2021 13:30 - 12.03.2021 14:00,4077,4248
12.03.2021 14:00 - 12.03.2021 14:30,4076,4212
12.03.2021 14:30 - 12.03.2021 15:00,4016,4151
12.03.2021 15:00 - 12.03.2021 15:30,3960,4089
12.03.2021 15:30 - 12.03.2021 16:00,3945,4116
12.03.2021 16:00 - 12.03.2021 16:30,3916,4001
12.03.2021 16:30 - 12.03.2021 17:00,3903,4018
12.03.2021 17:00 - 12.03.2021 17:30,3912,4027
12.03.2021 17:30 - 12.03.2021 18:00,3954,4126
12.03.2021 18:00 - 12.03.2021 18:30,4030,4262
12.03.2021 18:30 - 12.03.2021 19:00,4095,4398
12.03.2021 19:00 - 12.03.2021 19:30,4166,4513
12.03.2021 19:30 - 12.03.2021 20:00,4274,4599
12.03.2021 20:00 - 12.03.2021 20:30,4419,4591
12.03.2021 20:30 - 12.03.2021 21:00,4361,4486
12.03.2021 21:00 - 12.03.2021 21:30,4261,4288
12.03.2021 21:30 - 12.03.2021 22:00,4163,4133
12.03.2021 22:00 - 12.03.2021 22:30,4028,4001
12.03.2021 22:30 - 12.03.2021 23:00,3884,3881
12.03.2021 23:00 - 12.03.2021 23:30,3728,3723
12.03.2021 23:30 - 13.03.2021 00:00,3610,3629
13.03.2021 00:00 - 13.03.2021 00:30,3599,3522
13.03.2021 00:30 - 13.03.2021 01:00,3572,3507
13.03.2021 01:00 - 13.03.2021 01:30,3413,3385
13.03.2021 01:30 - 13.03.2021 02:00,3299,3293
13.03.2021 02:00 - 13.03.2021 02:30,3128,3189
13.03.2021 02:30 - 13.03.2021 03:00,3008,3106
13.03.2021 03:00 - 13.03.2021 03:30,2928,3013
13.03.2021 03:30 - 13.03.2021 04:00,2877,2982
13.03.2021 04:00 - 13.03.2021 04:30,2787,2901
13.03.2021 04:30 - 13.03.2021 05:00,2764,2894
13.03.2021 05:00 - 13.03.2021 05:30,2742,2859
13.03.2021 05:30 - 13.03.2021 06:00,2706,2848
13.03.2021 06:00 - 13.03.2021 06:30,2676,2811
13.03.2021 06:30 - 13.03.2021 07:00,2668,2849
13.03.2021 07:00 - 13.03.2021 07:30,2718,2896
13.03.2021 07:30 - 13.03.2021 08:00,2741,2966
13.03.2021 08:00 - 13.03.2021 08:30,2786,3009
13.03.2021 08:30 - 13.03.2021 09:00,2881,3144
13.03.2021 09:00 - 13.03.2021 09:30,3003,3297
13.03.2021 09:30 - 13.03.2021 10:00,3232,3363
13.03.2021 10:00 - 13.03.2021 10:30,3453,3508
13.03.2021 10:30 - 13.03.2021 11:00,3632,3632
13.03.2021 11:00 - 13.03.2021 11:30,3756,3693
13.03.2021 11:30 - 13.03.2021 12:00,3828,3810
13.03.2021 12:00 - 13.03.2021 12:30,3860,3827
13.03.2021 12:30 - 13.03.2021 13:00,3868,3856
13.03.2021 13:00 - 13.03.2021 13:30,3881,3916
13.03.2021 13:30 - 13.03.2021 14:00,3889,3897
13.03.2021 14:00 - 13.03.2021 14:30,3866,3925
13.03.2021 14:30 - 13.03.2021 15:00,3831,3875
13.03.2021 15:00 - 13.03.2021 15:30,3755,3749
13.03.2021 15:30 - 13.03.2021 16:00,3709,3733
13.03.2021 16:00 - 13.03.2021 16:30,3660,3723
13.03.2021 16:30 - 13.03.2021 17:00,3669,3737
13.03.2021 17:00 - 13.03.2021 17:30,3677,3783
13.03.2021 17:30 - 13.03.2021 18:00,3703,3873
13.03.2021 18:00 - 13.03.2021 18:30,3790,3956
13.03.2021 18:30 - 13.03.2021 19:00,3927,4055
13.03.2021 19:00 - 13.03.2021 19:30,4026,4147
13.03.2021 19:30 - 13.03.2021 20:00,4098,4211
13.03.2021 20:00 - 13.03.2021 20:30,4215,4323
13.03.2021 20:30 - 13.03.2021 21:00,4190,4238
13.03.2021 21:00 - 13.03.2021 21:30,4098,4066
13.03.2021 21:30 - 13.03.2021 22:00,3993,3946
13.03.2021 22:00 - 13.03.2021 22:30,3911,3810
13.03.2021 22:30 - 13.03.2021 23:00,3785,3655
13.03.2021 23:00 - 13.03.2021 23:30,3651,3548
13.03.2021 23:30 - 14.03.2021 00:00,3561,3424
14.03.2021 00:00 - 14.03.2021 00:30,3574,3270
14.03.2021 00:30 - 14.03.2021 01:00,3547,3283
14.03.2021 01:00 - 14.03.2021 01:30,3359,3267
14.03.2021 01:30 - 14.03.2021 02:00,3269,3143
14.03.2021 02:00 - 14.03.2021 02:30,3072,3045
14.03.2021 02:30 - 14.03.2021 03:00,2994,2952
14.03.2021 03:00 - 14.03.2021 03:30,2887,2848
14.03.2021 03:30 - 14.03.2021 04:00,2823,2798
14.03.2021 04:00 - 14.03.2021 04:30,2736,2774
14.03.2021 04:30 - 14.03.2021 05:00,2700,2741
14.03.2021 05:00 - 14.03.2021 05:30,2674,2740
14.03.2021 05:30 - 14.03.2021 06:00,2649,2729
14.03.2021 06:00 - 14.03.2021 06:30,2621,2722
14.03.2021 06:30 - 14.03.2021 07:00,2614,2720
14.03.2021 07:00 - 14.03.2021 07:30,2637,2765
14.03.2021 07:30 - 14.03.2021 08:00,2657,2797
14.03.2021 08:00 - 14.03.2021 08:30,2665,2783
14.03.2021 08:30 - 14.03.2021 09:00,2737,2904
14.03.2021 09:00 - 14.03.2021 09:30,2790,2964
14.03.2021 09:30 - 14.03.2021 10:00,2899,3076
14.03.2021 10:00 - 14.03.2021 10:30,3165,3217
14.03.2021 10:30 - 14.03.2021 11:00,3321,3325
14.03.2021 11:00 - 14.03.2021 11:30,3452,3486
14.03.2021 11:30 - 14.03.2021 12:00,3526,3614
14.03.2021 12:00 - 14.03.2021 12:30,3583,3762
14.03.2021 12:30 - 14.03.2021 13:00,3626,3826
14.03.2021 13:00 - 14.03.2021 13:30,3679,3870
14.03.2021 13:30 - 14.03.2021 14:00,3692,3935
14.03.2021 14:00 - 14.03.2021 14:30,3682,3947
14.03.2021 14:30 - 14.03.2021 15:00,3632,3909
14.03.2021 15:00 - 14.03.2021 15:30,3539,3842
14.03.2021 15:30 - 14.03.2021 16:00,3497,3778
14.03.2021 16:00 - 14.03.2021 16:30,3468,3738
14.03.2021 16:30 - 14.03.2021 17:00,3428,3700
14.03.2021 17:00 - 14.03.2021 17:30,3470,3721
14.03.2021 17:30 - 14.03.2021 18:00,3491,3734
14.03.2021 18:00 - 14.03.2021 18:30,3565,3850
14.03.2021 18:30 - 14.03.2021 19:00,3677,3924
14.03.2021 19:00 - 14.03.2021 19:30,3845,3970
14.03.2021 19:30 - 14.03.2021 20:00,4023,4053
14.03.2021 20:00 - 14.03.2021 20:30,4132,4147
14.03.2021 20:30 - 14.03.2021 21:00,4121,4103
14.03.2021 21:00 - 14.03.2021 21:30,4072,3992
14.03.2021 21:30 - 14.03.2021 22:00,3969,3889
14.03.2021 22:00 - 14.03.2021 22:30,3875,3750
14.03.2021 22:30 - 14.03.2021 23:00,3744,3587
14.03.2021 23:00 - 14.03.2021 23:30,3596,3420
14.03.2021 23:30 - 15.03.2021 00:00,3458,3312
15.03.2021 00:00 - 15.03.2021 00:30,3426,3238
15.03.2021 00:30 - 15.03.2021 01:00,3389,3204
15.03.2021 01:00 - 15.03.2021 01:30,3339,3077
15.03.2021 01:30 - 15.03.2021 02:00,3228,3009
15.03.2021 02:00 - 15.03.2021 02:30,3126,2924
15.03.2021 02:30 - 15.03.2021 03:00,3031,2860
15.03.2021 03:00 - 15.03.2021 03:30,2957,2786
15.03.2021 03:30 - 15.03.2021 04:00,2899,2750
15.03.2021 04:00 - 15.03.2021 04:30,2866,2705
15.03.2021 04:30 - 15.03.2021 05:00,2840,2676
15.03.2021 05:00 - 15.03.2021 05:30,2833,2681
15.03.2021 05:30 - 15.03.2021 06:00,2824,2661
15.03.2021 06:00 - 15.03.2021 06:30,2845,2689
15.03.2021 06:30 - 15.03.2021 07:00,2893,2748
15.03.2021 07:00 - 15.03.2021 07:30,3017,2866
15.03.2021 07:30 - 15.03.2021 08:00,3143,3053
15.03.2021 08:00 - 15.03.2021 08:30,3313,3263
15.03.2021 08:30 - 15.03.2021 09:00,3551,3573
15.03.2021 09:00 - 15.03.2021 09:30,3722,3801
15.03.2021 09:30 - 15.03.2021 10:00,3861,3914
15.03.2021 10:00 - 15.03.2021 10:30,4005,3987
15.03.2021 10:30 - 15.03.2021 11:00,4126,4070
15.03.2021 11:00 - 15.03.2021 11:30,4187,4082
15.03.2021 11:30 - 15.03.2021 12:00,4215,4082
15.03.2021 12:00 - 15.03.2021 12:30,4254,4115
15.03.2021 12:30 - 15.03.2021 13:00,4276,4120
15.03.2021 13:00 - 15.03.2021 13:30,4307,4129
15.03.2021 13:30 - 15.03.2021 14:00,4309,4166
15.03.2021 14:00 - 15.03.2021 14:30,4324,4191
15.03.2021 14:30 - 15.03.2021 15:00,4239,4089
15.03.2021 15:00 - 15.03.2021 15:30,4198,4039
15.03.2021 15:30 - 15.03.2021 16:00,4184,4008
15.03.2021 16:00 - 15.03.2021 16:30,4180,4024
15.03.2021 16:30 - 15.03.2021 17:00,4195,4042
15.03.2021 17:00 - 15.03.2021 17:30,4222,4044
15.03.2021 17:30 - 15.03.2021 18:00,4304,4100
15.03.2021 18:00 - 15.03.2021 18:30,4385,4206
15.03.2021 18:30 - 15.03.2021 19:00,4477,4340
15.03.2021 19:00 - 15.03.2021 19:30,4519,4374
15.03.2021 19:30 - 15.03.2021 20:00,4584,4405
15.03.2021 20:00 - 15.03.2021 20:30,4735,4479
15.03.2021 20:30 - 15.03.2021 21:00,4680,4404
15.03.2021 21:00 - 15.03.2021 21:30,4556,4250
15.03.2021 21:30 - 15.03.2021 22:00,4414,4135
15.03.2021 22:00 - 15.03.2021 22:30,4279,3983
15.03.2021 22:30 - 15.03.2021 23:00,4096,3804
15.03.2021 23:00 - 15.03.2021 23:30,3904,3609
15.03.2021 23:30 - 16.03.2021 00:00,3723,3461
16.03.2021 00:00 - 16.03.2021 00:30,3659,3356
16.03.2021 00:30 - 16.03.2021 01:00,3581,3302
16.03.2021 01:00 - 16.03.2021 01:30,3436,3173
16.03.2021 01:30 - 16.03.2021 02:00,3297,3074
16.03.2021 02:00 - 16.03.2021 02:30,3195,2976
16.03.2021 02:30 - 16.03.2021 03:00,3091,2905
16.03.2021 03:00 - 16.03.2021 03:30,3028,2838
16.03.2021 03:30 - 16.03.2021 04:00,2970,2807
16.03.2021 04:00 - 16.03.2021 04:30,2934,2774
16.03.2021 04:30 - 16.03.2021 05:00,2909,2765
16.03.2021 05:00 - 16.03.2021 05:30,2903,2770
16.03.2021 05:30 - 16.03.2021 06:00,2900,2758
16.03.2021 06:00 - 16.03.2021 06:30,2923,2781
16.03.2021 06:30 - 16.03.2021 07:00,2964,2825
16.03.2021 07:00 - 16.03.2021 07:30,3105,2945
16.03.2021 07:30 - 16.03.2021 08:00,3248,3154
16.03.2021 08:00 - 16.03.2021 08:30,3491,3316
16.03.2021 08:30 - 16.03.2021 09:00,3741,3643
16.03.2021 09:00 - 16.03.2021 09:30,3883,3859
16.03.2021 09:30 - 16.03.2021 10:00,3964,3954
16.03.2021 10:00 - 16.03.2021 10:30,4092,4009
16.03.2021 10:30 - 16.03.2021 11:00,4194,4059
16.03.2021 11:00 - 16.03.2021 11:30,4242,4036
16.03.2021 11:30 - 16.03.2021 12:00,4266,4027
16.03.2021 12:00 - 16.03.2021 12:30,4285,4000
16.03.2021 12:30 - 16.03.2021 13:00,4279,3976
16.03.2021 13:00 - 16.03.2021 13:30,4305,3954
16.03.2021 13:30 - 16.03.2021 14:00,4317,3990
16.03.2021 14:00 - 16.03.2021 14:30,4295,3988
16.03.2021 14:30 - 16.03.2021 15:00,4215,3876
16.03.2021 15:00 - 16.03.2021 15:30,4184,3804
16.03.2021 15:30 - 16.03.2021 16:00,4163,3788
16.03.2021 16:00 - 16.03.2021 16:30,4164,3792
16.03.2021 16:30 - 16.03.2021 17:00,4193,3786
16.03.2021 17:00 - 16.03.2021 17:30,4232,3796
16.03.2021 17:30 - 16.03.2021 18:00,4301,3856
16.03.2021 18:00 - 16.03.2021 18:30,4385,3942
16.03.2021 18:30 - 16.03.2021 19:00,4463,4058
16.03.2021 19:00 - 16.03.2021 19:30,4505,4130
16.03.2021 19:30 - 16.03.2021 20:00,4574,4160
16.03.2021 20:00 - 16.03.2021 20:30,4751,4305
16.03.2021 20:30 - 16.03.2021 21:00,4726,4293
16.03.2021 21:00 - 16.03.2021 21:30,4617,4185
16.03.2021 21:30 - 16.03.2021 22:00,4487,4034
16.03.2021 22:00 - 16.03.2021 22:30,4330,3890
16.03.2021 22:30 - 16.03.2021 23:00,4148,3741
16.03.2021 23:00 - 16.03.2021 23:30,3954,3590
16.03.2021 23:30 - 17.03.2021 00:00,3756,3449
17.03.2021 00:00 - 17.03.2021 00:30,3686,3383
17.03.2021 00:30 - 17.03.2021 01:00,3604,3342
17.03.2021 01:00 - 17.03.2021 01:30,3460,3232
17.03.2021 01:30 - 17.03.2021 02:00,3335,3137
17.03.2021 02:00 - 17.03.2021 02:30,3221,3050
17.03.2021 02:30 - 17.03.2021 03:00,3125,2985
17.03.2021 03:00 - 17.03.2021 03:30,3058,2922
17.03.2021 03:30 - 17.03.2021 04:00,3005,2885
17.03.2021 04:00 - 17.03.2021 04:30,2972,2840
17.03.2021 04:30 - 17.03.2021 05:00,2954,2818
17.03.2021 05:00 - 17.03.2021 05:30,2950,2817
17.03.2021 05:30 - 17.03.2021 06:00,2940,2807
17.03.2021 06:00 - 17.03.2021 06:30,2978,2803
17.03.2021 06:30 - 17.03.2021 07:00,3048,2823
17.03.2021 07:00 - 17.03.2021 07:30,3215,2880
17.03.2021 07:30 - 17.03.2021 08:00,3398,2935
17.03.2021 08:00 - 17.03.2021 08:30,3694,2999
17.03.2021 08:30 - 17.03.2021 09:00,4012,3119
17.03.2021 09:00 - 17.03.2021 09:30,4190,3196
17.03.2021 09:30 - 17.03.2021 10:00,4267,3298
17.03.2021 10:00 - 17.03.2021 10:30,4371,3448
17.03.2021 10:30 - 17.03.2021 11:00,4447,3554
17.03.2021 11:00 - 17.03.2021 11:30,4453,3646
17.03.2021 11:30 - 17.03.2021 12:00,4457,3693
17.03.2021 12:00 - 17.03.2021 12:30,4460,3707
17.03.2021 12:30 - 17.03.2021 13:00,4446,3725
17.03.2021 13:00 - 17.03.2021 13:30,4449,3745
17.03.2021 13:30 - 17.03.2021 14:00,4486,3737
17.03.2021 14:00 - 17.03.2021 14:30,4462,3715
17.03.2021 14:30 - 17.03.2021 15:00,4384,3647
17.03.2021 15:00 - 17.03.2021 15:30,4367,3558
17.03.2021 15:30 - 17.03.2021 16:00,4363,3490
17.03.2021 16:00 - 17.03.2021 16:30,4378,3438
17.03.2021 16:30 - 17.03.2021 17:00,4397,3398
17.03.2021 17:00 - 17.03.2021 17:30,4436,3438
17.03.2021 17:30 - 17.03.2021 18:00,4502,3503
17.03.2021 18:00 - 17.03.2021 18:30,4588,3611
17.03.2021 18:30 - 17.03.2021 19:00,4669,3743
17.03.2021 19:00 - 17.03.2021 19:30,4686,3836
17.03.2021 19:30 - 17.03.2021 20:00,4735,3901
17.03.2021 20:00 - 17.03.2021 20:30,4881,4063
17.03.2021 20:30 - 17.03.2021 21:00,4869,4037
17.03.2021 21:00 - 17.03.2021 21:30,4755,3907
17.03.2021 21:30 - 17.03.2021 22:00,4611,3766
17.03.2021 22:00 - 17.03.2021 22:30,4465,3657
17.03.2021 22:30 - 17.03.2021 23:00,4266,3514
17.03.2021 23:00 - 17.03.2021 23:30,4063,3353
17.03.2021 23:30 - 18.03.2021 00:00,3859,3224
18.03.2021 00:00 - 18.03.2021 00:30,3771,3148
18.03.2021 00:30 - 18.03.2021 01:00,3682,3114
18.03.2021 01:00 - 18.03.2021 01:30,3520,3021
18.03.2021 01:30 - 18.03.2021 02:00,3387,2958
18.03.2021 02:00 - 18.03.2021 02:30,3275,2865
18.03.2021 02:30 - 18.03.2021 03:00,3179,2792
18.03.2021 03:00 - 18.03.2021 03:30,3108,2736
18.03.2021 03:30 - 18.03.2021 04:00,3040,2702
18.03.2021 04:00 - 18.03.2021 04:30,3003,2673
18.03.2021 04:30 - 18.03.2021 05:00,2986,2661
18.03.2021 05:00 - 18.03.2021 05:30,2985,2653
18.03.2021 05:30 - 18.03.2021 06:00,2980,2648
18.03.2021 06:00 - 18.03.2021 06:30,3010,2664
18.03.2021 06:30 - 18.03.2021 07:00,3067,2713
18.03.2021 07:00 - 18.03.2021 07:30,3225,2815
18.03.2021 07:30 - 18.03.2021 08:00,3365,2992
18.03.2021 08:00 - 18.03.2021 08:30,3645,3188
18.03.2021 08:30 - 18.03.2021 09:00,3918,3488
18.03.2021 09:00 - 18.03.2021 09:30,4064,3696
18.03.2021 09:30 - 18.03.2021 10:00,4142,3802
18.03.2021 10:00 - 18.03.2021 10:30,4233,3879
18.03.2021 10:30 - 18.03.2021 11:00,4309,3938
18.03.2021 11:00 - 18.03.2021 11:30,4322,3947
18.03.2021 11:30 - 18.03.2021 12:00,4325,3929
18.03.2021 12:00 - 18.03.2021 12:30,4332,3950
18.03.2021 12:30 - 18.03.2021 13:00,4331,3947
18.03.2021 13:00 - 18.03.2021 13:30,4353,3945
18.03.2021 13:30 - 18.03.2021 14:00,4367,3995
18.03.2021 14:00 - 18.03.2021 14:30,4322,3986
18.03.2021 14:30 - 18.03.2021 15:00,4236,3863
18.03.2021 15:00 - 18.03.2021 15:30,4208,3832
18.03.2021 15:30 - 18.03.2021 16:00,4192,3820
18.03.2021 16:00 - 18.03.2021 16:30,4194,3828
18.03.2021 16:30 - 18.03.2021 17:00,4217,3833
18.03.2021 17:00 - 18.03.2021 17:30,4243,3875
18.03.2021 17:30 - 18.03.2021 18:00,4322,3937
18.03.2021 18:00 - 18.03.2021 18:30,4402,4045
18.03.2021 18:30 - 18.03.2021 19:00,4472,4174
18.03.2021 19:00 - 18.03.2021 19:30,4501,4238
18.03.2021 19:30 - 18.03.2021 20:00,4563,4216
18.03.2021 20:00 - 18.03.2021 20:30,4743,4317
18.03.2021 20:30 - 18.03.2021 21:00,4767,4262
18.03.2021 21:00 - 18.03.2021 21:30,4664,4175
18.03.2021 21:30 - 18.03.2021 22:00,4540,4041
18.03.2021 22:00 - 18.03.2021 22:30,4389,3897
18.03.2021 22:30 - 18.03.2021 23:00,4185,3713
18.03.2021 23:00 - 18.03.2021 23:30,3994,3518
18.03.2021 23:30 - 19.03.2021 00:00,3811,3352
19.03.2021 00:00 - 19.03.2021 00:30,3740,3259
19.03.2021 00:30 - 19.03.2021 01:00,3651,3207
19.03.2021 01:00 - 19.03.2021 01:30,3515,3069
19.03.2021 01:30 - 19.03.2021 02:00,3384,3020
19.03.2021 02:00 - 19.03.2021 02:30,3265,2911
19.03.2021 02:30 - 19.03.2021 03:00,3168,2836
19.03.2021 03:00 - 19.03.2021 03:30,3094,2790
19.03.2021 03:30 - 19.03.2021 04:00,3038,2769
19.03.2021 04:00 - 19.03.2021 04:30,2992,2751
19.03.2021 04:30 - 19.03.2021 05:00,2972,2737
19.03.2021 05:00 - 19.03.2021 05:30,2963,2711
19.03.2021 05:30 - 19.03.2021 06:00,2967,2731
19.03.2021 06:00 - 19.03.2021 06:30,3007,2737
19.03.2021 06:30 - 19.03.2021 07:00,3063,2780
19.03.2021 07:00 - 19.03.2021 07:30,3228,2908
19.03.2021 07:30 - 19.03.2021 08:00,3382,3018
19.03.2021 08:00 - 19.03.2021 08:30,3678,3229
19.03.2021 08:30 - 19.03.2021 09:00,3974,3508
19.03.2021 09:00 - 19.03.2021 09:30,4138,3710
19.03.2021 09:30 - 19.03.2021 10:00,4216,3819
19.03.2021 10:00 - 19.03.2021 10:30,4326,3876
19.03.2021 10:30 - 19.03.2021 11:00,4403,3913
19.03.2021 11:00 - 19.03.2021 11:30,4397,3914
19.03.2021 11:30 - 19.03.2021 12:00,4391,3916
19.03.2021 12:00 - 19.03.2021 12:30,4387,3924
19.03.2021 12:30 - 19.03.2021 13:00,4377,3926
19.03.2021 13:00 - 19.03.2021 13:30,4369,3930
19.03.2021 13:30 - 19.03.2021 14:00,4384,3960
19.03.2021 14:00 - 19.03.2021 14:30,4341,3963
19.03.2021 14:30 - 19.03.2021 15:00,4271,3869
19.03.2021 15:00 - 19.03.2021 15:30,4236,3815
19.03.2021 15:30 - 19.03.2021 16:00,4222,3790
19.03.2021 16:00 - 19.03.2021 16:30,4202,3781
19.03.2021 16:30 - 19.03.2021 17:00,4205,3784
19.03.2021 17:00 - 19.03.2021 17:30,4216,3791
19.03.2021 17:30 - 19.03.2021 18:00,4273,3814
19.03.2021 18:00 - 19.03.2021 18:30,4349,3911
19.03.2021 18:30 - 19.03.2021 19:00,4433,4022
19.03.2021 19:00 - 19.03.2021 19:30,4452,4085
19.03.2021 19:30 - 19.03.2021 20:00,4539,4112
19.03.2021 20:00 - 19.03.2021 20:30,4679,4248
19.03.2021 20:30 - 19.03.2021 21:00,4689,4282
19.03.2021 21:00 - 19.03.2021 21:30,4565,4163
19.03.2021 21:30 - 19.03.2021 22:00,4416,4021
19.03.2021 22:00 - 19.03.2021 22:30,4272,3886
19.03.2021 22:30 - 19.03.2021 23:00,4088,3730
19.03.2021 23:00 - 19.03.2021 23:30,3925,3582
19.03.2021 23:30 - 20.03.2021 00:00,3771,3457
20.03.2021 00:00 - 20.03.2021 00:30,3743,3374
20.03.2021 00:30 - 20.03.2021 01:00,3685,3333
20.03.2021 01:00 - 20.03.2021 01:30,3539,3223
20.03.2021 01:30 - 20.03.2021 02:00,3386,3123
20.03.2021 02:00 - 20.03.2021 02:30,3254,3023
20.03.2021 02:30 - 20.03.2021 03:00,3139,2943
20.03.2021 03:00 - 20.03.2021 03:30,3049,2855
20.03.2021 03:30 - 20.03.2021 04:00,2982,2807
20.03.2021 04:00 - 20.03.2021 04:30,2941,2759
20.03.2021 04:30 - 20.03.2021 05:00,2913,2746
20.03.2021 05:00 - 20.03.2021 05:30,2898,2732
20.03.2021 05:30 - 20.03.2021 06:00,2881,2719
20.03.2021 06:00 - 20.03.2021 06:30,2886,2723
20.03.2021 06:30 - 20.03.2021 07:00,2903,2736
20.03.2021 07:00 - 20.03.2021 07:30,2972,2791
20.03.2021 07:30 - 20.03.2021 08:00,3010,2831
20.03.2021 08:00 - 20.03.2021 08:30,3142,2898
20.03.2021 08:30 - 20.03.2021 09:00,3290,3040
20.03.2021 09:00 - 20.03.2021 09:30,3440,3156
20.03.2021 09:30 - 20.03.2021 10:00,3593,3277
20.03.2021 10:00 - 20.03.2021 10:30,3779,3407
20.03.2021 10:30 - 20.03.2021 11:00,3906,3529
20.03.2021 11:00 - 20.03.2021 11:30,3969,3604
20.03.2021 11:30 - 20.03.2021 12:00,4001,3652
20.03.2021 12:00 - 20.03.2021 12:30,4010,3681
20.03.2021 12:30 - 20.03.2021 13:00,4020,3695
20.03.2021 13:00 - 20.03.2021 13:30,4027,3695
20.03.2021 13:30 - 20.03.2021 14:00,4035,3728
20.03.2021 14:00 - 20.03.2021 14:30,4006,3718
20.03.2021 14:30 - 20.03.2021 15:00,3935,3666
20.03.2021 15:00 - 20.03.2021 15:30,3863,3585
20.03.2021 15:30 - 20.03.2021 16:00,3830,3531
20.03.2021 16:00 - 20.03.2021 16:30,3790,3503
20.03.2021 16:30 - 20.03.2021 17:00,3792,3505
20.03.2021 17:00 - 20.03.2021 17:30,3802,3525
20.03.2021 17:30 - 20.03.2021 18:00,3868,3613
20.03.2021 18:00 - 20.03.2021 18:30,3960,3701
20.03.2021 18:30 - 20.03.2021 19:00,4062,3781
20.03.2021 19:00 - 20.03.2021 19:30,4137,3884
20.03.2021 19:30 - 20.03.2021 20:00,4185,3892
20.03.2021 20:00 - 20.03.2021 20:30,4333,4103
20.03.2021 20:30 - 20.03.2021 21:00,4382,4077
20.03.2021 21:00 - 20.03.2021 21:30,4264,3939
20.03.2021 21:30 - 20.03.2021 22:00,4123,3783
20.03.2021 22:00 - 20.03.2021 22:30,3980,3661
20.03.2021 22:30 - 20.03.2021 23:00,3837,3500
20.03.2021 23:00 - 20.03.2021 23:30,3690,3373
20.03.2021 23:30 - 21.03.2021 00:00,3570,3295
21.03.2021 00:00 - 21.03.2021 00:30,3557,3226
21.03.2021 00:30 - 21.03.2021 01:00,3518,3185
21.03.2021 01:00 - 21.03.2021 01:30,3398,3097
21.03.2021 01:30 - 21.03.2021 02:00,3279,3001
21.03.2021 02:00 - 21.03.2021 02:30,3157,2896
21.03.2021 02:30 - 21.03.2021 03:00,3050,2821
21.03.2021 03:00 - 21.03.2021 03:30,3003,2735
21.03.2021 03:30 - 21.03.2021 04:00,2934,2699
21.03.2021 04:00 - 21.03.2021 04:30,2886,2657
21.03.2021 04:30 - 21.03.2021 05:00,2855,2639
21.03.2021 05:00 - 21.03.2021 05:30,2826,2629
21.03.2021 05:30 - 21.03.2021 06:00,2805,2626
21.03.2021 06:00 - 21.03.2021 06:30,2799,2626
21.03.2021 06:30 - 21.03.2021 07:00,2804,2638
21.03.2021 07:00 - 21.03.2021 07:30,2829,2666
21.03.2021 07:30 - 21.03.2021 08:00,2846,2660
21.03.2021 08:00 - 21.03.2021 08:30,2914,2716
21.03.2021 08:30 - 21.03.2021 09:00,3004,2812
21.03.2021 09:00 - 21.03.2021 09:30,3112,2918
21.03.2021 09:30 - 21.03.2021 10:00,3239,3002
21.03.2021 10:00 - 21.03.2021 10:30,3382,3139
21.03.2021 10:30 - 21.03.2021 11:00,3511,3292
