Time (CET/CEST),Day-ahead Total Load Forecast [MW] - Ireland (IE),Actual Total Load [MW] - Ireland (IE)
08.01.2021 09:00 - 08.01.2021 09:30,4297,3856
08.01.2021 09:30 - 08.01.2021 10:00,4277,3991
08.01.2021 10:00 - 08.01.2021 10:30,4334,4158
08.01.2021 10:30 - 08.01.2021 11:00,4482,4302
08.01.2021 11:00 - 08.01.2021 11:30,4495,4357
08.01.2021 11:30 - 08.01.2021 12:00,4502,4424
08.01.2021 12:00 - 08.01.2021 12:30,4500,4474
08.01.2021 12:30 - 08.01.2021 13:00,4509,4474
08.01.2021 13:00 - 08.01.2021 13:30,4498,4501
08.01.2021 13:30 - 08.01.2021 14:00,4497,4564
08.01.2021 14:00 - 08.01.2021 14:30,4481,4577
08.01.2021 14:30 - 08.01.2021 15:00,4411,4503
08.01.2021 15:00 - 08.01.2021 15:30,4411,4417
08.01.2021 15:30 - 08.01.2021 16:00,4425,4404
08.01.2021 16:00 - 08.01.2021 16:30,4448,4385
08.01.2021 16:30 - 08.01.2021 17:00,4489,4361
08.01.2021 17:00 - 08.01.2021 17:30,4551,4406
08.01.2021 17:30 - 08.01.2021 18:00,4688,4514
08.01.2021 18:00 - 08.01.2021 18:30,4921,4836
08.01.2021 18:30 - 08.01.2021 19:00,5036,5082
08.01.2021 19:00 - 08.01.2021 19:30,5025,5059
08.01.2021 19:30 - 08.01.2021 20:00,4954,4961
08.01.2021 20:00 - 08.01.2021 20:30,4859,4817
08.01.2021 20:30 - 08.01.2021 21:00,4751,4662
08.01.2021 21:00 - 08.01.2021 21:30,4655,4502
08.01.2021 21:30 - 08.01.2021 22:00,4520,4373
08.01.2021 22:00 - 08.01.2021 22:30,4382,4244
08.01.2021 22:30 - 08.01.2021 23:00,4235,4104
08.01.2021 23:00 - 08.01.2021 23:30,4033,3968
08.01.2021 23:30 - 09.01.2021 00:00,3910,3845
09.01.2021 00:00 - 09.01.2021 00:30,3910,3806
09.01.2021 00:30 - 09.01.2021 01:00,3871,3828
09.01.2021 01:00 - 09.01.2021 01:30,3621,3676
09.01.2021 01:30 - 09.01.2021 02:00,3517,3553
09.01.2021 02:00 - 09.01.2021 02:30,3366,3430
09.01.2021 02:30 - 09.01.2021 03:00,3246,3325
09.01.2021 03:00 - 09.01.2021 03:30,3077,3230
09.01.2021 03:30 - 09.01.2021 04:00,2984,3170
09.01.2021 04:00 - 09.01.2021 04:30,2914,3119
09.01.2021 04:30 - 09.01.2021 05:00,2879,3077
09.01.2021 05:00 - 09.01.2021 05:30,2847,3061
09.01.2021 05:30 - 09.01.2021 06:00,2825,3036
09.01.2021 06:00 - 09.01.2021 06:30,2821,3025
09.01.2021 06:30 - 09.01.2021 07:00,2814,3014
09.01.2021 07:00 - 09.01.2021 07:30,2881,3054
09.01.2021 07:30 - 09.01.2021 08:00,2923,3130
09.01.2021 08:00 - 09.01.2021 08:30,2987,3181
09.01.2021 08:30 - 09.01.2021 09:00,3164,3289
09.01.2021 09:00 - 09.01.2021 09:30,3276,3354
09.01.2021 09:30 - 09.01.2021 10:00,3381,3391
09.01.2021 10:00 - 09.01.2021 10:30,3578,3511
09.01.2021 10:30 - 09.01.2021 11:00,3771,3679
09.01.2021 11:00 - 09.01.2021 11:30,3891,3812
09.01.2021 11:30 - 09.01.2021 12:00,4014,3922
09.01.2021 12:00 - 09.01.2021 12:30,4053,3999
09.01.2021 12:30 - 09.01.2021 13:00,4082,4035
09.01.2021 13:00 - 09.01.2021 13:30,4146,4056
09.01.2021 13:30 - 09.01.2021 14:00,4170,4089
09.01.2021 14:00 - 09.01.2021 14:30,4144,4106
09.01.2021 14:30 - 09.01.2021 15:00,4079,4086
09.01.2021 15:00 - 09.01.2021 15:30,4007,4016
09.01.2021 15:30 - 09.01.2021 16:00,3972,3971
09.01.2021 16:00 - 09.01.2021 16:30,3944,3944
09.01.2021 16:30 - 09.01.2021 17:00,3953,3962
09.01.2021 17:00 - 09.01.2021 17:30,4020,4020
09.01.2021 17:30 - 09.01.2021 18:00,4195,4164
09.01.2021 18:00 - 09.01.2021 18:30,4511,4500
09.01.2021 18:30 - 09.01.2021 19:00,4657,4776
09.01.2021 19:00 - 09.01.2021 19:30,4638,4835
09.01.2021 19:30 - 09.01.2021 20:00,4594,4725
09.01.2021 20:00 - 09.01.2021 20:30,4463,4580
09.01.2021 20:30 - 09.01.2021 21:00,4355,4404
09.01.2021 21:00 - 09.01.2021 21:30,4242,4235
09.01.2021 21:30 - 09.01.2021 22:00,4122,4105
09.01.2021 22:00 - 09.01.2021 22:30,3962,3983
09.01.2021 22:30 - 09.01.2021 23:00,3851,3859
09.01.2021 23:00 - 09.01.2021 23:30,3729,3745
09.01.2021 23:30 - 10.01.2021 00:00,3639,3624
10.01.2021 00:00 - 10.01.2021 00:30,3635,3586
10.01.2021 00:30 - 10.01.2021 01:00,3628,3598
10.01.2021 01:00 - 10.01.2021 01:30,3463,3476
10.01.2021 01:30 - 10.01.2021 02:00,3347,3369
10.01.2021 02:00 - 10.01.2021 02:30,3205,3247
10.01.2021 02:30 - 10.01.2021 03:00,3023,3145
10.01.2021 03:00 - 10.01.2021 03:30,2950,3041
10.01.2021 03:30 - 10.01.2021 04:00,2861,2983
10.01.2021 04:00 - 10.01.2021 04:30,2805,2932
10.01.2021 04:30 - 10.01.2021 05:00,2765,2907
10.01.2021 05:00 - 10.01.2021 05:30,2732,2886
10.01.2021 05:30 - 10.01.2021 06:00,2686,2850
10.01.2021 06:00 - 10.01.2021 06:30,2674,2825
10.01.2021 06:30 - 10.01.2021 07:00,2651,2827
10.01.2021 07:00 - 10.01.2021 07:30,2659,2855
10.01.2021 07:30 - 10.01.2021 08:00,2691,2885
10.01.2021 08:00 - 10.01.2021 08:30,2741,2921
10.01.2021 08:30 - 10.01.2021 09:00,2780,2978
10.01.2021 09:00 - 10.01.2021 09:30,2806,3006
10.01.2021 09:30 - 10.01.2021 10:00,2831,3041
10.01.2021 10:00 - 10.01.2021 10:30,3010,3144
10.01.2021 10:30 - 10.01.2021 11:00,3239,3293
10.01.2021 11:00 - 10.01.2021 11:30,3399,3449
10.01.2021 11:30 - 10.01.2021 12:00,3551,3607
10.01.2021 12:00 - 10.01.2021 12:30,3664,3750
10.01.2021 12:30 - 10.01.2021 13:00,3744,3846
10.01.2021 13:00 - 10.01.2021 13:30,3844,3957
10.01.2021 13:30 - 10.01.2021 14:00,3901,4064
10.01.2021 14:00 - 10.01.2021 14:30,3943,4099
