"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"07.03.2023 13:00 - 07.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 14:00 - 07.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 15:00 - 07.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 16:00 - 07.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 17:00 - 07.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 18:00 - 07.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 19:00 - 07.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 20:00 - 07.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 21:00 - 07.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 22:00 - 07.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.03.2023 23:00 - 08.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"08.03.2023 00:00 - 08.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"08.03.2023 01:00 - 08.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","585","n/e","n/e"
"08.03.2023 02:00 - 08.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","575","n/e","n/e"
"08.03.2023 03:00 - 08.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","634","n/e","n/e"
"08.03.2023 04:00 - 08.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","873","n/e","n/e"
"08.03.2023 05:00 - 08.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1086","n/e","n/e"
"08.03.2023 06:00 - 08.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1316","n/e","n/e"
"08.03.2023 07:00 - 08.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1530","n/e","n/e"
"08.03.2023 08:00 - 08.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1653","n/e","n/e"
"08.03.2023 09:00 - 08.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1794","n/e","n/e"
"08.03.2023 10:00 - 08.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1939","n/e","n/e"
"08.03.2023 11:00 - 08.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","2089","n/e","n/e"
"08.03.2023 12:00 - 08.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","2249","n/e","n/e"
"08.03.2023 13:00 - 08.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","2374","n/e","n/e"
"08.03.2023 14:00 - 08.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","2447","n/e","n/e"
"08.03.2023 15:00 - 08.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","2443","n/e","n/e"
"08.03.2023 16:00 - 08.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","2362","n/e","n/e"
"08.03.2023 17:00 - 08.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2224","n/e","n/e"
"08.03.2023 18:00 - 08.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","2059","n/e","n/e"
"08.03.2023 19:00 - 08.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1896","n/e","n/e"
"08.03.2023 20:00 - 08.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1788","n/e","n/e"
"08.03.2023 21:00 - 08.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1753","n/e","n/e"
"08.03.2023 22:00 - 08.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1729","n/e","n/e"
"08.03.2023 23:00 - 09.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1700","n/e","n/e"
"09.03.2023 00:00 - 09.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1678","n/e","n/e"
"09.03.2023 01:00 - 09.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","1423","n/e","n/e"
"09.03.2023 02:00 - 09.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","1518","n/e","n/e"
"09.03.2023 03:00 - 09.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","1660","n/e","n/e"
"09.03.2023 04:00 - 09.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1770","n/e","n/e"
"09.03.2023 05:00 - 09.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1934","n/e","n/e"
"09.03.2023 06:00 - 09.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","2068","n/e","n/e"
"09.03.2023 07:00 - 09.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2190","n/e","n/e"
"09.03.2023 08:00 - 09.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","2350","n/e","n/e"
"09.03.2023 09:00 - 09.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","2510","n/e","n/e"
"09.03.2023 10:00 - 09.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","2663","n/e","n/e"
"09.03.2023 11:00 - 09.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","2804","n/e","n/e"
"09.03.2023 12:00 - 09.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","2908","n/e","n/e"
"09.03.2023 13:00 - 09.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","2984","n/e","n/e"
"09.03.2023 14:00 - 09.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","3054","n/e","n/e"
"09.03.2023 15:00 - 09.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","3106","n/e","n/e"
"09.03.2023 16:00 - 09.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","3096","n/e","n/e"
"09.03.2023 17:00 - 09.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","3014","n/e","n/e"
"09.03.2023 18:00 - 09.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","2891","n/e","n/e"
"09.03.2023 19:00 - 09.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","2807","n/e","n/e"
"09.03.2023 20:00 - 09.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","2786","n/e","n/e"
"09.03.2023 21:00 - 09.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","2818","n/e","n/e"
"09.03.2023 22:00 - 09.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","2903","n/e","n/e"
"09.03.2023 23:00 - 10.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","2979","n/e","n/e"
"10.03.2023 00:00 - 10.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","3032","n/e","n/e"
"10.03.2023 01:00 - 10.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","4369","n/e","n/e"
"10.03.2023 02:00 - 10.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","4106","n/e","n/e"
"10.03.2023 03:00 - 10.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","3605","n/e","n/e"
"10.03.2023 04:00 - 10.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","2932","n/e","n/e"
"10.03.2023 05:00 - 10.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","2289","n/e","n/e"
"10.03.2023 06:00 - 10.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1725","n/e","n/e"
"10.03.2023 07:00 - 10.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1237","n/e","n/e"
"10.03.2023 08:00 - 10.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","853","n/e","n/e"
"10.03.2023 09:00 - 10.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","573","n/e","n/e"
"10.03.2023 10:00 - 10.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","365","n/e","n/e"
"10.03.2023 11:00 - 10.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","239","n/e","n/e"
"10.03.2023 12:00 - 10.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","183","n/e","n/e"
"10.03.2023 13:00 - 10.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","174","n/e","n/e"
"10.03.2023 14:00 - 10.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","214","n/e","n/e"
"10.03.2023 15:00 - 10.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","295","n/e","n/e"
"10.03.2023 16:00 - 10.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","390","n/e","n/e"
"10.03.2023 17:00 - 10.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","481","n/e","n/e"
"10.03.2023 18:00 - 10.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","554","n/e","n/e"
"10.03.2023 19:00 - 10.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","654","n/e","n/e"
"10.03.2023 20:00 - 10.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","791","n/e","n/e"
"10.03.2023 21:00 - 10.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","965","n/e","n/e"
"10.03.2023 22:00 - 10.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1185","n/e","n/e"
"10.03.2023 23:00 - 11.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1413","n/e","n/e"
"11.03.2023 00:00 - 11.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","1585","n/e","n/e"
"11.03.2023 01:00 - 11.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 02:00 - 11.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 03:00 - 11.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 04:00 - 11.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 05:00 - 11.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 06:00 - 11.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 07:00 - 11.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 08:00 - 11.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 09:00 - 11.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 10:00 - 11.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 11:00 - 11.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 12:00 - 11.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 13:00 - 11.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 14:00 - 11.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 15:00 - 11.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 16:00 - 11.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 17:00 - 11.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 18:00 - 11.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 19:00 - 11.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 20:00 - 11.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 21:00 - 11.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 22:00 - 11.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"11.03.2023 23:00 - 12.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"12.03.2023 00:00 - 12.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"12.03.2023 01:00 - 12.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","3002","n/e","n/e"
"12.03.2023 02:00 - 12.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","2855","n/e","n/e"
"12.03.2023 03:00 - 12.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","2600","n/e","n/e"
"12.03.2023 04:00 - 12.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","2088","n/e","n/e"
"12.03.2023 05:00 - 12.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1703","n/e","n/e"
"12.03.2023 06:00 - 12.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1364","n/e","n/e"
"12.03.2023 07:00 - 12.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1048","n/e","n/e"
"12.03.2023 08:00 - 12.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","843","n/e","n/e"
"12.03.2023 09:00 - 12.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","700","n/e","n/e"
"12.03.2023 10:00 - 12.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","682","n/e","n/e"
"12.03.2023 11:00 - 12.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","787","n/e","n/e"
"12.03.2023 12:00 - 12.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1019","n/e","n/e"
"12.03.2023 13:00 - 12.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1311","n/e","n/e"
"12.03.2023 14:00 - 12.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1633","n/e","n/e"
"12.03.2023 15:00 - 12.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1979","n/e","n/e"
"12.03.2023 16:00 - 12.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","2334","n/e","n/e"
"12.03.2023 17:00 - 12.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2744","n/e","n/e"
"12.03.2023 18:00 - 12.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","3128","n/e","n/e"
"12.03.2023 19:00 - 12.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","3420","n/e","n/e"
"12.03.2023 20:00 - 12.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","3671","n/e","n/e"
"12.03.2023 21:00 - 12.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","3795","n/e","n/e"
"12.03.2023 22:00 - 12.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","3782","n/e","n/e"
"12.03.2023 23:00 - 13.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","3713","n/e","n/e"
"13.03.2023 00:00 - 13.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","3609","n/e","n/e"
"13.03.2023 01:00 - 13.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 02:00 - 13.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 03:00 - 13.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 04:00 - 13.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 05:00 - 13.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 06:00 - 13.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 07:00 - 13.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 08:00 - 13.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 09:00 - 13.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 10:00 - 13.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 11:00 - 13.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 12:00 - 13.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 13:00 - 13.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 14:00 - 13.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 15:00 - 13.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 16:00 - 13.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 17:00 - 13.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 18:00 - 13.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 19:00 - 13.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 20:00 - 13.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 21:00 - 13.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 22:00 - 13.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"13.03.2023 23:00 - 14.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"14.03.2023 00:00 - 14.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"14.03.2023 01:00 - 14.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","3123","n/e","n/e"
"14.03.2023 02:00 - 14.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","2815","n/e","n/e"
"14.03.2023 03:00 - 14.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","2591","n/e","n/e"
"14.03.2023 04:00 - 14.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","2559","n/e","n/e"
"14.03.2023 05:00 - 14.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","2552","n/e","n/e"
"14.03.2023 06:00 - 14.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","2521","n/e","n/e"
"14.03.2023 07:00 - 14.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2506","n/e","n/e"
"14.03.2023 08:00 - 14.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","2547","n/e","n/e"
"14.03.2023 09:00 - 14.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","2650","n/e","n/e"
"14.03.2023 10:00 - 14.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","2855","n/e","n/e"
"14.03.2023 11:00 - 14.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","3148","n/e","n/e"
"14.03.2023 12:00 - 14.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","3362","n/e","n/e"
"14.03.2023 13:00 - 14.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","3483","n/e","n/e"
"14.03.2023 14:00 - 14.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","3469","n/e","n/e"
"14.03.2023 15:00 - 14.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","3301","n/e","n/e"
"14.03.2023 16:00 - 14.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","3042","n/e","n/e"
"14.03.2023 17:00 - 14.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2663","n/e","n/e"
"14.03.2023 18:00 - 14.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","2190","n/e","n/e"
"14.03.2023 19:00 - 14.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1736","n/e","n/e"
"14.03.2023 20:00 - 14.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1428","n/e","n/e"
"14.03.2023 21:00 - 14.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1264","n/e","n/e"
"14.03.2023 22:00 - 14.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1164","n/e","n/e"
"14.03.2023 23:00 - 15.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1086","n/e","n/e"
"15.03.2023 00:00 - 15.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","999","n/e","n/e"
"15.03.2023 01:00 - 15.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","259","n/e","n/e"
"15.03.2023 02:00 - 15.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","285","n/e","n/e"
"15.03.2023 03:00 - 15.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","335","n/e","n/e"
"15.03.2023 04:00 - 15.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","416","n/e","n/e"
"15.03.2023 05:00 - 15.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","474","n/e","n/e"
"15.03.2023 06:00 - 15.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","515","n/e","n/e"
"15.03.2023 07:00 - 15.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","591","n/e","n/e"
"15.03.2023 08:00 - 15.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","790","n/e","n/e"
"15.03.2023 09:00 - 15.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1043","n/e","n/e"
"15.03.2023 10:00 - 15.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1278","n/e","n/e"
"15.03.2023 11:00 - 15.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1460","n/e","n/e"
"15.03.2023 12:00 - 15.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1622","n/e","n/e"
"15.03.2023 13:00 - 15.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1790","n/e","n/e"
"15.03.2023 14:00 - 15.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1994","n/e","n/e"
"15.03.2023 15:00 - 15.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","2190","n/e","n/e"
"15.03.2023 16:00 - 15.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","2342","n/e","n/e"
"15.03.2023 17:00 - 15.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2475","n/e","n/e"
"15.03.2023 18:00 - 15.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","2605","n/e","n/e"
"15.03.2023 19:00 - 15.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","2718","n/e","n/e"
"15.03.2023 20:00 - 15.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","2820","n/e","n/e"
"15.03.2023 21:00 - 15.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","2908","n/e","n/e"
"15.03.2023 22:00 - 15.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","2986","n/e","n/e"
"15.03.2023 23:00 - 16.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","3056","n/e","n/e"
"16.03.2023 00:00 - 16.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","3110","n/e","n/e"
"16.03.2023 01:00 - 16.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","3664","n/e","n/e"
"16.03.2023 02:00 - 16.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","3736","n/e","n/e"
"16.03.2023 03:00 - 16.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","3806","n/e","n/e"
"16.03.2023 04:00 - 16.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","3814","n/e","n/e"
"16.03.2023 05:00 - 16.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","3829","n/e","n/e"
"16.03.2023 06:00 - 16.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","3844","n/e","n/e"
"16.03.2023 07:00 - 16.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","3830","n/e","n/e"
"16.03.2023 08:00 - 16.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","3726","n/e","n/e"
"16.03.2023 09:00 - 16.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","3563","n/e","n/e"
"16.03.2023 10:00 - 16.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","3365","n/e","n/e"
"16.03.2023 11:00 - 16.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","3145","n/e","n/e"
"16.03.2023 12:00 - 16.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","2951","n/e","n/e"
"16.03.2023 13:00 - 16.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","2812","n/e","n/e"
"16.03.2023 14:00 - 16.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","2695","n/e","n/e"
"16.03.2023 15:00 - 16.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","2564","n/e","n/e"
"16.03.2023 16:00 - 16.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","2387","n/e","n/e"
"16.03.2023 17:00 - 16.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","2195","n/e","n/e"
"16.03.2023 18:00 - 16.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1980","n/e","n/e"
"16.03.2023 19:00 - 16.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1835","n/e","n/e"
"16.03.2023 20:00 - 16.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1748","n/e","n/e"
