"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"02.01.2023 23:00 - 03.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","4142","n/e","n/e"
"03.01.2023 00:00 - 03.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","4242","n/e","n/e"
"03.01.2023 01:00 - 03.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","3865","n/e","n/e"
"03.01.2023 02:00 - 03.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","3700","n/e","n/e"
"03.01.2023 03:00 - 03.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","3570","n/e","n/e"
"03.01.2023 04:00 - 03.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","3167","n/e","n/e"
"03.01.2023 05:00 - 03.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","2720","n/e","n/e"
"03.01.2023 06:00 - 03.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","2373","n/e","n/e"
"03.01.2023 07:00 - 03.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2204","n/e","n/e"
"03.01.2023 08:00 - 03.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","2249","n/e","n/e"
"03.01.2023 09:00 - 03.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","2437","n/e","n/e"
"03.01.2023 10:00 - 03.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","2712","n/e","n/e"
"03.01.2023 11:00 - 03.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","3052","n/e","n/e"
"03.01.2023 12:00 - 03.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","3367","n/e","n/e"
"03.01.2023 13:00 - 03.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","3616","n/e","n/e"
"03.01.2023 14:00 - 03.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","3799","n/e","n/e"
"03.01.2023 15:00 - 03.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","3936","n/e","n/e"
"03.01.2023 16:00 - 03.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","4034","n/e","n/e"
"03.01.2023 17:00 - 03.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","4121","n/e","n/e"
"03.01.2023 18:00 - 03.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","4224","n/e","n/e"
"03.01.2023 19:00 - 03.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","4358","n/e","n/e"
"03.01.2023 20:00 - 03.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","4469","n/e","n/e"
"03.01.2023 21:00 - 03.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","4535","n/e","n/e"
"03.01.2023 22:00 - 03.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","4542","n/e","n/e"
"03.01.2023 23:00 - 04.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","4512","n/e","n/e"
"04.01.2023 00:00 - 04.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","4475","n/e","n/e"
"04.01.2023 01:00 - 04.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","4099","n/e","n/e"
"04.01.2023 02:00 - 04.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","4078","n/e","n/e"
"04.01.2023 03:00 - 04.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","4080","n/e","n/e"
"04.01.2023 04:00 - 04.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","4231","n/e","n/e"
"04.01.2023 05:00 - 04.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","4286","n/e","n/e"
"04.01.2023 06:00 - 04.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","4306","n/e","n/e"
