Date,Actual,Predicted
2019-02-10,17.43704322593556,114.27956
2019-03-10,253.33149210227333,72.96687
2019-04-10,226.03158044826893,198.21199
2019-05-10,112.52248399039424,181.91907
2019-06-10,61.07653224864799,119.32209
2019-07-10,294.2763132879727,90.74789
2019-08-10,350.092269361617,224.65903
2019-09-10,312.0843333069962,256.38458
2019-10-10,282.43289503000597,234.59181
2019-11-10,203.01084171203917,216.54549
2019-12-10,93.58411646988192,168.98128
2019-10-13,31.430140254854113,108.42412
2019-10-14,58.56857364418651,75.09526
2019-10-15,154.06780238844502,89.02768
2019-10-16,160.50170022714823,142.79395
2019-10-17,241.74038352310183,145.44467
2019-10-18,114.2836058705343,191.43509
2019-10-19,109.49476736041625,119.481186
2019-10-20,166.82962798380223,118.660934
2019-10-21,20.454667471183907,142.89926
2019-10-22,139.4540234140484,72.39048
2019-10-23,285.6725518240824,135.54263
2019-10-24,161.56140104764054,216.79614
2019-10-25,67.17233507174423,141.3601
2019-10-26,68.19166632909625,96.03217
2019-10-27,54.972251831098646,94.82511
2019-10-28,76.03345240073924,87.93838
2019-10-29,226.09718101562132,99.134735
2019-10-30,283.6944436661997,184.19368
2019-10-31,139.1815289173504,216.65619
2019-01-11,225.94074894936958,130.50777
2019-02-11,330.8864535791595,186.31668
2019-03-11,125.20861667000199,245.6747
2019-04-11,168.13659224833697,125.52761
2019-05-11,148.7289286501781,149.75403
2019-06-11,88.3613052831699,136.71077
2019-07-11,203.95447998097654,107.18926
2019-08-11,79.37907927686491,167.18323
2019-09-11,221.91388583149887,102.72367
2019-10-11,121.66618821292774,179.65001
2019-11-11,360.03327225634183,125.17718
2019-12-11,227.792702328409,263.23642
2019-11-13,126.48530388934559,181.5798
2019-11-14,330.94700791175904,128.14142
2019-11-15,181.02961897839901,246.05588
2019-11-16,7.612102761656994,154.86371
2019-11-17,118.23477607265558,64.04168
2019-11-18,99.7051502608577,119.995575
2019-11-19,171.80517560536316,111.51785
2019-11-20,272.26985962278565,152.65508
2019-11-21,126.22290174104461,210.72145
2019-11-22,31.061768060836496,125.59515
2019-11-23,114.71253231237542,74.588875
2019-11-24,96.80358848238824,119.70627
2019-11-25,107.8345694123486,109.1774
2019-11-26,133.85274764858914,117.013954
2019-11-27,29.03319791875125,126.95125
2019-11-28,57.7561363525127,73.40649
2019-11-29,61.772907073542925,89.456245
2019-11-30,153.70447639284765,92.63884
2019-01-12,38.777399268860115,140.6978
2019-02-12,27.514293405342002,70.71379
2019-03-12,242.12894057135475,76.89037
2019-04-12,221.27301910445064,193.31749
2019-05-12,393.1363074915069,182.31952
2019-06-12,331.85532290075247,282.11075
2019-07-12,311.83706974184514,245.4919
2019-08-12,476.7769793946488,241.20699
2019-09-12,278.91065139083446,329.23672
2019-10-12,466.8157916820212,215.5947
2019-11-12,291.6421998198919,328.33508
2019-12-12,281.8172593556133,220.91853
2019-12-13,348.25040845208326,217.5193
2019-12-14,362.9651112737763,256.7199
2019-12-15,171.86572993796275,264.5761
2019-12-16,124.87556784070442,151.61244
2019-12-17,42.02210226135681,122.57894
2019-12-18,370.1609843836182,84.20973
2019-12-19,117.92191194015207,268.22125
2019-12-20,80.29244046427856,116.51444
2019-12-21,60.61732856784189,104.53307
2019-12-22,213.8197900810606,90.65103
2019-12-23,248.2449281639103,177.41635
2019-12-24,158.41762186610762,193.75697
2019-12-25,151.09559385631377,145.36186
2019-12-26,349.7844514638663,142.26395
2019-12-27,293.151011900128,256.5122
2019-12-28,405.4288370092175,222.27544
2019-12-29,380.36943566139684,292.1996
2019-12-30,77.42115586421971,274.8659
2019-12-31,66.52642218260836,99.34197
2020-01-01,156.4899756924274,94.41373
2020-02-01,410.6667867790794,143.66306
2020-03-01,199.3119811887132,293.64117
2020-04-01,169.5041109665799,168.8959
2020-05-01,326.6627888803402,150.83821
2020-06-01,380.35429707824693,243.29297
2020-07-01,449.4013748248949,275.3022
2020-08-01,100.21481588953371,318.12714
2020-09-01,85.8836238450082,109.97499
2020-10-01,314.1028109795758,106.041725
2020-11-01,418.42783370022016,237.12259
2020-12-01,139.9384580748449,297.8213
2020-01-13,459.29191585652586,134.65102
2020-01-14,335.9074169501701,325.6792
2020-01-15,372.99694566740044,248.29057
2020-01-16,384.2852824624655,272.0936
2020-01-17,196.00167771364013,277.15952
2020-01-18,25.34947601490774,166.28061
2020-01-19,88.79023180978706,72.43022
2020-01-20,164.34690034722027,105.51915
2020-01-21,74.02506704022413,144.28584
2020-01-22,12.900514479388832,95.91939
2020-01-23,41.02800197188433,64.41383
2020-01-24,56.99416099659795,79.01731
2020-01-25,214.61204251849904,91.57607
2020-01-26,226.85411017311583,176.71571
2020-01-27,236.05836872824892,183.7664
2020-01-28,364.3275837572663,188.64507
2020-01-29,253.92189684511902,266.32294
2020-01-30,238.2837404512827,199.06554
2020-01-31,387.7066022543406,190.66855
2020-01-02,345.9442975785471,281.96158
2020-02-02,307.20970953273167,254.62457
2020-03-02,396.99664619472884,231.31967
2020-04-02,279.813920145075,285.92505
2020-05-02,117.83612667600559,210.43471
2020-06-02,213.00230659096655,124.28096
2020-07-02,376.357711126676,176.99341
2020-08-02,408.7240019011407,273.81595
2020-09-02,487.95934610766454,294.0458
2020-10-02,516.1272031148568,341.67575
2020-11-02,478.5885631378827,363.1692
2020-12-02,203.41958345708622,333.4477
2020-02-13,174.59572113969577,172.25723
2020-02-14,367.1130830568461,155.24922
2020-02-15,479.60284820892537,267.6884
2020-02-16,496.6135694346487,338.43896
2020-02-17,463.0664691744927,346.1422
