Time,Day-ahead Price [EUR/MWh]
2021-02-22 11:00:00,84.0
2021-03-02 11:00:00,99.0
2021-03-05 11:00:00,80.61
2021-03-07 11:00:00,89.0
2021-03-09 11:00:00,64.84
2021-03-13 11:00:00,65.0
2021-03-14 11:00:00,65.0
2021-03-15 11:00:00,85.89
2021-03-16 11:00:00,89.0
2021-03-17 11:00:00,80.1
2021-03-18 11:00:00,79.0
2021-03-19 11:00:00,98.0
2021-03-26 11:00:00,59.0
2021-03-27 11:00:00,65.0
2021-04-02 11:00:00,75.32
2021-04-05 11:00:00,45.0
2021-04-09 11:00:00,143.0
2021-04-14 11:00:00,129.0
2021-04-19 11:00:00,81.0
2021-04-21 11:00:00,89.0
2021-04-27 11:00:00,80.48
2021-05-01 11:00:00,199.0
2021-05-03 11:00:00,42.33
2021-05-07 11:00:00,175.0
2021-05-08 11:00:00,80.1
2021-05-09 11:00:00,51.0
2021-05-12 11:00:00,235.0
2021-05-17 11:00:00,149.0
2021-05-19 11:00:00,148.0
2021-05-21 11:00:00,85.89
2021-05-23 11:00:00,104.0
2021-05-25 11:00:00,95.0
2021-06-01 11:00:00,151.0
2021-06-04 11:00:00,91.0
2021-06-10 11:00:00,90.0
2021-06-12 11:00:00,110.0
2021-06-18 11:00:00,155.0
2021-06-20 11:00:00,106.0
2021-06-30 11:00:00,151.0
2021-07-04 11:00:00,135.0
2021-07-05 11:00:00,140.0
2021-07-14 11:00:00,220.0
2021-07-31 11:00:00,149.0
2021-08-03 11:00:00,200.0
2021-08-07 11:00:00,135.0
2021-08-10 11:00:00,169.0
2021-08-13 11:00:00,114.0
2021-08-16 11:00:00,127.08
2021-08-18 11:00:00,155.0
2021-08-23 11:00:00,175.0
2021-09-03 11:00:00,235.0
2021-09-07 11:00:00,235.0
2021-09-08 11:00:00,184.0
2021-09-19 11:00:00,200.0
2021-09-20 11:00:00,235.0
2021-09-22 11:00:00,200.0
2021-09-23 11:00:00,194.66
2021-09-29 11:00:00,205.0
2021-10-01 11:00:00,202.0
2021-10-02 11:00:00,240.0
2021-10-07 11:00:00,199.0
2021-10-08 11:00:00,255.0
2021-10-17 11:00:00,226.0
2021-10-18 11:00:00,215.0
2021-10-21 11:00:00,255.0
2021-10-30 11:00:00,250.0
2021-10-31 11:00:00,75.0
2021-11-04 11:00:00,219.0
2021-11-05 11:00:00,240.0
2021-11-08 11:00:00,185.0
2021-11-11 11:00:00,172.5
2021-11-13 11:00:00,199.0
2021-11-15 11:00:00,250.0
2021-11-19 11:00:00,226.0
2021-11-23 11:00:00,269.0
2021-12-07 11:00:00,219.0
2021-12-17 11:00:00,335.0
2021-12-24 11:00:00,340.0
2022-01-03 11:00:00,102.2
2022-01-09 11:00:00,172.5
2022-01-11 11:00:00,265.0
2022-01-16 11:00:00,199.0
2022-01-18 11:00:00,215.0
2022-01-19 11:00:00,215.0
2022-01-24 11:00:00,235.0
2022-01-29 11:00:00,194.0
2022-02-01 11:00:00,210.0
2022-02-03 11:00:00,210.0
2022-02-04 11:00:00,202.0
2022-02-20 11:00:00,106.0
2022-02-21 11:00:00,176.0
2022-02-24 11:00:00,199.0
2022-03-02 11:00:00,264.0
2022-03-13 11:00:00,171.31
2022-03-14 11:00:00,265.0
2022-03-20 11:00:00,195.0
2022-04-01 11:00:00,340.0
2022-04-04 11:00:00,264.0
2022-04-05 11:00:00,269.0
2022-04-18 11:00:00,148.0
2022-04-21 11:00:00,200.8
2022-04-22 11:00:00,200.8
2022-04-23 11:00:00,200.8
2022-04-25 11:00:00,265.0
2022-04-26 11:00:00,258.21
2022-04-27 11:00:00,258.21
2022-04-28 11:00:00,258.21
2022-05-02 11:00:00,194.66
2022-05-03 11:00:00,265.0
2022-05-04 11:00:00,265.0
2022-05-05 11:00:00,265.0
2022-05-09 11:00:00,99.0
2022-05-10 11:00:00,94.3
2022-05-11 11:00:00,94.3
2022-05-12 11:00:00,94.3
2022-05-13 11:00:00,94.3
2022-05-14 11:00:00,94.3
2022-05-21 11:00:00,155.0
2022-05-24 11:00:00,165.0
2022-05-25 11:00:00,135.0
2022-06-06 11:00:00,215.0
2022-06-14 11:00:00,185.0
2022-06-16 11:00:00,220.0
2022-06-18 11:00:00,171.31
2022-06-19 11:00:00,151.0
2022-06-20 11:00:00,240.0
2022-06-26 11:00:00,176.0
2022-06-29 11:00:00,263.66
2022-06-30 11:00:00,263.66
2022-07-01 11:00:00,263.66
2022-07-02 11:00:00,263.66
2022-07-03 11:00:00,263.66
2022-07-04 11:00:00,263.66
2022-07-05 11:00:00,263.66
2022-07-06 11:00:00,263.66
2022-07-07 11:00:00,263.66
2022-07-08 11:00:00,263.66
2022-07-09 11:00:00,263.66
2022-07-10 11:00:00,263.66
2022-07-11 11:00:00,263.66
2022-07-12 11:00:00,263.66
2022-07-13 11:00:00,263.66
2022-07-14 11:00:00,263.66
2022-07-15 11:00:00,263.66
2022-07-16 11:00:00,263.66
2022-07-17 11:00:00,263.66
2022-07-18 11:00:00,263.66
2022-07-19 11:00:00,263.66
2022-07-20 11:00:00,263.66
2022-07-21 11:00:00,263.66
2022-07-22 11:00:00,263.66
2022-07-23 11:00:00,263.66
2022-07-24 11:00:00,263.66
2022-07-25 11:00:00,263.66
2022-07-26 11:00:00,263.66
2022-07-27 11:00:00,263.66
2022-07-28 11:00:00,263.66
2022-07-29 11:00:00,263.66
2022-07-30 11:00:00,263.66
2022-07-31 11:00:00,263.66
2022-08-01 11:00:00,263.66
2022-08-02 11:00:00,263.66
2022-08-03 11:00:00,263.66
2022-08-04 11:00:00,263.66
2022-08-05 11:00:00,263.66
2022-08-06 11:00:00,263.66
2022-08-07 11:00:00,263.66
2022-08-08 11:00:00,263.66
2022-08-09 11:00:00,263.66
2022-08-10 11:00:00,263.66
2022-09-05 11:00:00,295.0
2022-09-23 11:00:00,335.0
2022-10-01 11:00:00,167.0
2022-10-07 11:00:00,195.0
2022-10-20 11:00:00,116.0
2022-10-26 11:00:00,70.0
2022-10-30 11:00:00,50.0
2022-11-02 11:00:00,60.0
2022-11-13 11:00:00,95.0
2022-11-16 11:00:00,214.0
2022-11-19 11:00:00,135.0
2022-11-23 11:00:00,143.0
2022-11-24 11:00:00,129.0
2022-11-25 11:00:00,155.0
2022-11-26 11:00:00,168.0
2022-11-27 11:00:00,165.0
2022-12-21 11:00:00,205.0
2022-12-22 11:00:00,295.0
2022-12-30 11:00:00,200.0
2022-12-31 11:00:00,194.0
2023-01-07 11:00:00,164.0
2023-01-09 11:00:00,170.0
2023-01-11 11:00:00,169.0
2023-01-20 11:00:00,214.0
2023-01-29 11:00:00,170.0
2023-02-02 11:00:00,170.0
2023-02-03 11:00:00,184.0
2023-02-04 11:00:00,155.0
2023-02-09 11:00:00,171.08
2023-02-13 11:00:00,165.0
2023-02-14 11:00:00,149.0
2023-02-19 11:00:00,168.0
2023-02-22 11:00:00,164.0
2023-02-24 11:00:00,165.0
2023-02-28 11:00:00,255.0
2023-03-03 11:00:00,255.0
2023-03-06 11:00:00,185.0
2023-03-11 11:00:00,171.08
2023-03-13 11:00:00,167.0
2023-03-22 11:00:00,91.0
2023-03-25 11:00:00,114.0
2023-03-28 11:00:00,127.08
2023-04-11 11:00:00,146.3
2023-04-12 11:00:00,146.3
2023-04-13 11:00:00,146.3
2023-04-14 11:00:00,146.3
2023-04-15 11:00:00,146.3
2023-04-16 11:00:00,146.3
2023-04-17 11:00:00,146.3
2023-04-18 11:00:00,146.3
2023-04-19 11:00:00,146.3
2023-04-20 11:00:00,146.3
2023-04-21 11:00:00,146.3
2023-04-22 11:00:00,146.3
2023-04-23 11:00:00,146.3
2023-04-24 11:00:00,146.3
2023-05-02 11:00:00,127.08
2023-05-03 11:00:00,105.0
2023-05-07 11:00:00,125.0
2023-05-11 11:00:00,115.0
2023-05-15 11:00:00,110.0
2023-05-29 11:00:00,129.0
2023-05-30 11:00:00,115.0
